"N_gen","Herit_African","Sex_ratio_African","N_mut_African","N_sub_African","Theta_African","Het_African","Herit_European","Sex_ratio_European","N_mut_European","N_sub_European","Theta_European","Het_European","Herit_Asian","Sex_ratio_Asian","N_mut_Asian","N_sub_Asian","Theta_Asian","Het_Asian","mr","ms"
105100,0.22334,0.520796,5609,739,0.516937,0.342854,0.173282,0.524342,7826,790,0.666747,0.241066,0.159714,0.522744,10103,798,0.83903,0.229375,2,1
105100,0.231554,0.51672,5682,689,0.523665,0.354471,0.191888,0.527244,7944,740,0.6768,0.252055,0.183287,0.52432,10000,761,0.830476,0.237778,2,1
105100,0.246236,0.525632,5524,734,0.509103,0.334766,0.193982,0.53009,7877,782,0.671092,0.24726,0.186661,0.520329,10120,791,0.840442,0.24224,2,1
105100,0.205303,0.517825,5595,759,0.515647,0.334692,0.173056,0.523119,7830,811,0.667087,0.248788,0.189222,0.526609,10082,817,0.837286,0.244242,2,1
105100,0.226548,0.530261,5657,738,0.521361,0.358067,0.190689,0.532992,8009,796,0.682337,0.264239,0.168534,0.523732,9773,808,0.811625,0.250641,2,1
105100,0.2258,0.519207,5650,737,0.520716,0.35577,0.184875,0.519647,7935,787,0.676033,0.260444,0.178037,0.525412,10099,794,0.838698,0.247283,2,1
105100,0.235817,0.521556,5691,766,0.524494,0.363243,0.195038,0.524655,7863,809,0.669899,0.272603,0.178448,0.520518,9914,827,0.823334,0.248428,2,1
105100,0.237165,0.52204,5653,693,0.520992,0.348493,0.176359,0.517883,7773,730,0.662231,0.257198,0.179781,0.526819,9901,737,0.822255,0.252009,2,1
105100,0.21887,0.523559,5792,718,0.533803,0.35936,0.160341,0.521326,8003,787,0.681826,0.254902,0.155386,0.52978,10045,790,0.834214,0.235529,2,1
105100,0.229135,0.531159,5680,695,0.52348,0.360221,0.185852,0.525594,8049,744,0.685745,0.265226,0.179765,0.52831,9976,753,0.828483,0.242801,2,1
105100,0.212857,0.520036,5592,758,0.51537,0.335522,0.190257,0.525452,7977,800,0.679611,0.260868,0.15865,0.519972,10002,818,0.830642,0.23038,2,1
105100,0.213663,0.526116,5739,748,0.528918,0.373199,0.154939,0.523204,7967,819,0.678759,0.270216,0.164511,0.523984,9950,833,0.826324,0.267233,2,1
105100,0.219052,0.520589,5464,675,0.503573,0.333101,0.158579,0.528183,7911,723,0.673988,0.235941,0.146046,0.519405,9990,736,0.829646,0.221063,2,1
105100,0.241792,0.51893,5646,741,0.520347,0.358179,0.206738,0.526163,8009,785,0.682337,0.266125,0.192134,0.523606,9826,798,0.816026,0.245996,2,1
105100,0.226124,0.52197,5589,711,0.515094,0.349074,0.170011,0.525793,7910,764,0.673903,0.260662,0.157633,0.519741,9871,774,0.819763,0.246147,2,1
105100,0.210876,0.517687,5577,706,0.513988,0.337588,0.166815,0.513928,7959,751,0.678078,0.25073,0.163437,0.529759,9909,775,0.822919,0.229411,2,1
105100,0.222603,0.528465,5532,734,0.50984,0.341554,0.161894,0.516716,7918,787,0.674585,0.250061,0.144554,0.522618,9955,792,0.826739,0.221838,2,1
